timestamp,event,tracking_id,contractor_id,send_type,county,trade,ip,user_agent
2026-07-21 16:35:52,open,1445_first_outreach_alachua_general_contractor__v2,1445,first,outreach,alachua_general_contractor__v2,"66.249.90.230, 172.71.166.151","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36 Edge/12.246 Mozilla/5.0"
2026-07-21 16:35:57,open,1447_first_outreach_alachua_general_contractor__v2,1447,first,outreach,alachua_general_contractor__v2,"66.249.90.230, 172.71.166.151","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36 Edge/12.246 Mozilla/5.0"
2026-07-21 16:36:05,open,1450_first_outreach_alachua_general_contractor__v2,1450,first,outreach,alachua_general_contractor__v2,"66.249.90.230, 172.71.151.146","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36 Edge/12.246 Mozilla/5.0"
2026-07-21 16:36:11,open,1949_followup_2_alachua_general_contractor__v2,1949,followup,2,alachua_general_contractor__v2,"66.249.90.230, 172.71.151.196","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36 Edge/12.246 Mozilla/5.0"
2026-07-21 16:36:21,open,1951_followup_2_alachua_general_contractor__v1,1951,followup,2,alachua_general_contractor__v1,"135.232.20.5, 104.22.100.64","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
2026-07-21 16:36:27,open,1955_followup_2_alachua_general_contractor__v2,1955,followup,2,alachua_general_contractor__v2,"66.249.90.230, 172.71.166.151","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36 Edge/12.246 Mozilla/5.0"
2026-07-21 16:36:34,open,1958_followup_2_alachua_general_contractor__v1,1958,followup,2,alachua_general_contractor__v1,"66.249.90.230, 172.71.166.151","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36 Edge/12.246 Mozilla/5.0"
2026-07-21 16:36:36,open,1959_followup_2_alachua_general_contractor__v2,1959,followup,2,alachua_general_contractor__v2,"66.249.90.230, 172.71.150.173","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36 Edge/12.246 Mozilla/5.0"
2026-07-21 16:36:39,open,1960_followup_2_alachua_general_contractor__v1,1960,followup,2,alachua_general_contractor__v1,"66.249.90.230, 172.71.166.151","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36 Edge/12.246 Mozilla/5.0"
2026-07-21 16:36:39,open,1952_followup_2_alachua_general_contractor__v2,1952,followup,2,alachua_general_contractor__v2,"135.232.19.0, 172.71.147.235","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
2026-07-21 16:36:41,open,1952_followup_2_alachua_general_contractor__v2,1952,followup,2,alachua_general_contractor__v2,"72.152.84.228, 104.23.201.99","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
2026-07-21 16:36:47,open,1963_followup_2_alachua_general_contractor__v1,1963,followup,2,alachua_general_contractor__v1,"66.249.90.230, 172.71.166.151","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36 Edge/12.246 Mozilla/5.0"
2026-07-21 16:36:58,open,1346_followup_1_marion_solar__v1,1346,followup,1,marion_solar__v1,"66.249.90.230, 172.71.166.151","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36 Edge/12.246 Mozilla/5.0"
2026-07-21 16:37:03,open,1348_followup_1_marion_solar__v0,1348,followup,1,marion_solar__v0,"66.249.90.230, 172.71.166.151","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36 Edge/12.246 Mozilla/5.0"
2026-07-21 16:37:19,open,2009_followup_2_pinellas_pool__v2,2009,followup,2,pinellas_pool__v2,"66.249.90.230, 172.71.166.151","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36 Edge/12.246 Mozilla/5.0"
2026-07-21 16:37:27,open,2012_followup_2_pinellas_pool__v2,2012,followup,2,pinellas_pool__v2,"66.249.90.230, 172.71.166.151","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36 Edge/12.246 Mozilla/5.0"
2026-07-21 16:37:46,open,2017_followup_2_pinellas_pool__v2,2017,followup,2,pinellas_pool__v2,"72.152.84.9, 104.23.201.98","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
2026-07-21 16:37:56,open,2020_followup_2_pinellas_pool__v1,2020,followup,2,pinellas_pool__v1,"72.153.230.151, 172.71.154.130","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
2026-07-21 16:39:35,open,2013_followup_2_pinellas_pool__v1,2013,followup,2,pinellas_pool__v1,"140.248.44.0, 104.23.248.113",Mozilla/5.0
2026-07-21 16:41:35,open,1819_followup_2_hillsborough_roofing__v2,1819,followup,2,hillsborough_roofing__v2,"172.226.190.35, 172.70.255.45",Mozilla/5.0
2026-07-21 16:52:54,open,1448_first_outreach_alachua_general_contractor__v2,1448,first,outreach,alachua_general_contractor__v2,"216.255.254.21, 172.68.12.76",Mozilla/4.0 (compatible; ms-office; MSOffice 16)
2026-07-21 17:02:19,open,1448_first_outreach_alachua_general_contractor__v2,1448,first,outreach,alachua_general_contractor__v2,"216.255.254.21, 172.71.146.111",Mozilla/4.0 (compatible; ms-office; MSOffice 16)
2026-07-21 17:05:20,open,1554_followup_2_lee_roofing__v0,1554,followup,2,lee_roofing__v0,"140.248.44.0, 172.71.146.101",Mozilla/5.0
